strategy,selected_layer,test_f1_mean,test_f1_std,ci_low,ci_high,majority_f1,control_f1,selectivity,n_programs,delta_f1_vs_baseline
baseline,7,0.9756,0.0034,0.9641,0.9819,0.4904,0.4240,+0.5517,427,
random_nouns,11,0.9607,0.0081,0.9506,0.9671,0.4894,0.4229,+0.5378,427,-0.0150
single_chars,9,0.9064,0.0137,0.8962,0.9173,0.4878,0.4277,+0.4788,427,-0.0692
all_same,1,0.9998,0.0001,0.9995,0.9999,0.4464,0.4560,+0.5438,427,+0.0241
numeric_vars,23,0.9105,0.0083,0.8993,0.9204,0.4824,0.4397,+0.4708,427,-0.0652
misleading_iterator,0,0.9985,0.0008,0.9975,0.9992,0.4871,0.4033,+0.5952,427,+0.0229
