strategy,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28
random_nouns,-0.0331,0.1411,0.1799,0.3524,0.3426,0.3218,0.3173,0.4017,0.4011,0.4297,0.3750,0.4079,0.4218,0.4299,0.4219,0.4745,0.4441,0.4405,0.4543,0.4343,0.4354,0.4769,0.4642,0.4624,0.4423,0.4741,0.4934,0.4875,0.4678
single_chars,0.0179,0.0449,0.1015,0.1920,0.2104,0.2354,0.2449,0.3115,0.3589,0.2960,0.3149,0.3080,0.3146,0.3301,0.3511,0.3918,0.3625,0.3242,0.3436,0.3150,0.2948,0.3451,0.3844,0.3432,0.2818,0.3327,0.3022,0.3409,0.3392
all_same,0.0046,-0.0043,0.0035,0.0425,0.0205,-0.0017,0.0349,0.0839,0.0941,0.0730,0.0888,0.1048,0.0695,0.0785,0.0704,0.0738,0.0623,0.0674,0.0561,0.0720,0.0818,0.0976,0.0728,0.0478,0.0404,0.0451,0.0639,0.0466,0.0894
numeric_vars,0.0297,0.0830,0.1506,0.1201,0.1050,0.0945,0.1551,0.1816,0.1274,0.1385,0.1299,0.1914,0.2344,0.1952,0.2343,0.2414,0.2564,0.2570,0.2300,0.2948,0.2776,0.2883,0.3289,0.2998,0.2785,0.2953,0.3078,0.2848,0.3214
misleading_class_struct,0.0574,0.0580,0.0500,0.1960,0.1764,0.1437,0.1484,0.2580,0.2721,0.3000,0.2536,0.2774,0.2560,0.2714,0.2572,0.3107,0.2884,0.2578,0.2798,0.2547,0.2626,0.2277,0.2419,0.2271,0.2356,0.2320,0.2058,0.2347,0.1911
