strategy,selected_layer,test_f1_mean,test_f1_std,ci_low,ci_high,majority_f1,control_f1,selectivity,n_programs,delta_f1_vs_baseline
baseline,18,0.9794,0.0050,0.9673,0.9870,0.4961,0.4274,+0.5520,400,
random_nouns,20,0.9863,0.0038,0.9758,0.9921,0.4961,0.4264,+0.5599,400,+0.0068
single_chars,11,0.9574,0.0155,0.9364,0.9692,0.4957,0.4233,+0.5341,400,-0.0220
all_same,0,1.0000,0.0000,0.9999,1.0000,0.4431,0.4401,+0.5599,400,+0.0206
numeric_vars,21,0.9650,0.0045,0.9520,0.9721,0.4935,0.4216,+0.5434,400,-0.0144
misleading_class_struct,7,0.9756,0.0118,0.9624,0.9820,0.4950,0.4164,+0.5591,400,-0.0039
