language,model,mode,layer,n,clean,intervened,ctrl_random_position,ctrl_random_direction,ctrl_same_role,specificity,cases_scored,cases_available,git_commit
cpp,starcoder27b,ablate,32,157,14.1303,14.1303,13.7566,,,0.0,157,161,55638dc8c00b
cpp,starcoder27b,patch,0,157,14.1303,-0.1791,9.7198,,6.8044,3.244,157,161,55638dc8c00b
cpp,starcoder27b,patch,4,157,14.1303,-0.8513,12.2834,,7.657,8.112,157,161,55638dc8c00b
cpp,starcoder27b,patch,8,157,14.1303,-0.4616,12.6131,,7.969,9.618,157,161,55638dc8c00b
cpp,starcoder27b,patch,12,157,14.1303,-0.0869,12.671,,8.1087,9.742,157,161,55638dc8c00b
cpp,starcoder27b,patch,16,157,14.1303,0.6401,12.8308,,8.2796,10.381,157,161,55638dc8c00b
cpp,starcoder27b,patch,20,157,14.1303,6.0445,12.9271,,9.6141,6.72,157,161,55638dc8c00b
cpp,starcoder27b,patch,24,157,14.1303,11.381,13.2539,,11.4197,3.137,157,161,55638dc8c00b
cpp,starcoder27b,patch,28,157,14.1303,13.1658,13.3532,,11.8565,1.241,157,161,55638dc8c00b
cpp,starcoder27b,patch,32,157,14.1303,14.1303,14.1303,,12.0867,,157,161,55638dc8c00b
cpp,starcoder27b,steer,0,78,14.0252,13.8291,14.0125,14.0302,,15.45,78,161,55638dc8c00b
cpp,starcoder27b,steer,4,78,14.0252,13.65,14.0263,14.0321,,345.429,78,161,55638dc8c00b
cpp,starcoder27b,steer,8,78,14.0252,13.6141,14.0209,13.9996,,95.934,78,161,55638dc8c00b
cpp,starcoder27b,steer,12,78,14.0252,13.56,13.9936,13.9928,,14.724,78,161,55638dc8c00b
cpp,starcoder27b,steer,16,78,14.0252,13.3982,13.993,13.9526,,19.443,78,161,55638dc8c00b
cpp,starcoder27b,steer,20,78,14.0252,13.3717,13.93,13.9916,,6.867,78,161,55638dc8c00b
cpp,starcoder27b,steer,24,78,14.0252,13.4535,14.0226,13.9849,,218.731,78,161,55638dc8c00b
cpp,starcoder27b,steer,28,78,14.0252,13.7645,13.9986,13.9653,,9.782,78,161,55638dc8c00b
cpp,starcoder27b,steer,32,78,14.0252,14.0252,13.8533,14.0252,,0.0,78,161,55638dc8c00b
java,qwen2515b,ablate,0,155,1.1378,-7.0156,0.4951,,,12.686,155,155,77f41ede7c6b
java,qwen2515b,ablate,4,155,1.1378,-7.9776,0.5805,,,16.357,155,155,77f41ede7c6b
java,qwen2515b,ablate,8,155,1.1378,-8.5632,0.4829,,,14.812,155,155,77f41ede7c6b
java,qwen2515b,ablate,12,155,1.1378,-8.4493,1.0263,,,85.966,155,155,77f41ede7c6b
java,qwen2515b,ablate,16,155,1.1378,-8.5825,0.7971,,,28.526,155,155,77f41ede7c6b
java,qwen2515b,ablate,20,155,1.1378,-8.5301,0.9519,,,51.99,155,155,77f41ede7c6b
java,qwen2515b,ablate,24,155,1.1378,-4.6756,1.0105,,,45.637,155,155,77f41ede7c6b
java,qwen2515b,ablate,28,155,1.1378,1.1378,1.0589,,,0.0,155,155,77f41ede7c6b
java,qwen2515b,patch,0,155,1.1378,-9.6102,-1.1198,,,4.761,155,155,77f41ede7c6b
