strategy,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28
random_nouns,0.2612,0.1010,0.1183,0.1641,0.1831,0.0903,0.1310,0.0867,0.1207,0.0983,0.1399,0.1474,0.1837,0.1884,0.1931,0.2133,0.2252,0.1777,0.2149,0.1846,0.1900,0.2285,0.2024,0.1634,0.1841,0.2325,0.2253,0.2366,0.2408
single_chars,0.3892,0.1615,0.1457,0.1580,0.1405,0.1848,0.1389,0.1225,0.1378,0.1576,0.1471,0.1689,0.1417,0.1639,0.2238,0.1888,0.1707,0.1652,0.1988,0.1936,0.1966,0.2012,0.2022,0.1953,0.1941,0.1931,0.1958,0.1990,0.1748
all_same,0.3047,0.1396,0.1085,0.1113,0.1113,0.1276,0.1164,0.1424,0.1428,0.1481,0.1493,0.1589,0.1416,0.1386,0.1585,0.1436,0.1573,0.1428,0.1705,0.1392,0.1537,0.1608,0.1344,0.1194,0.1270,0.1359,0.1416,0.1428,0.1628
numeric_vars,0.2307,0.1552,0.1296,0.1243,0.1201,0.1065,0.1101,0.0901,0.1090,0.1016,0.1372,0.1446,0.1707,0.1606,0.1592,0.1306,0.1528,0.1505,0.1524,0.1811,0.1639,0.1616,0.1477,0.1378,0.1492,0.1636,0.1890,0.1587,0.1948
misleading_index_key,0.0955,0.0706,0.0256,0.0517,0.0471,0.0613,0.0490,0.0785,0.0752,0.0818,0.1085,0.1301,0.0905,0.1013,0.1082,0.0887,0.1257,0.1271,0.1383,0.1071,0.1225,0.1281,0.1111,0.0931,0.0918,0.0861,0.0925,0.0712,0.1197
