strategy,best_layer,test_acc,test_f1,delta_f1_vs_baseline
baseline,17,0.9914,0.9589,
random_nouns,12,0.9845,0.9333,-0.0256
single_chars,9,0.9777,0.9149,-0.0440
all_same,3,1.0000,1.0000,+0.0411
numeric_vars,19,0.9569,0.8892,-0.0697
misleading_index_key,1,0.9999,0.9994,+0.0405
