condition,readout_layer,n_pairs,m_clean,m_corrupt,recovery_layer_1,recovery_layer_2,recovery_layer_3,recovery_layer_4,recovery_layer_5,recovery_layer_6,recovery_layer_7,recovery_layer_8,recovery_layer_9,recovery_layer_10,recovery_layer_11,recovery_layer_12,recovery_layer_13,recovery_layer_14,recovery_layer_15,recovery_layer_16,recovery_layer_17
random_nouns,17,40,0.9841,0.4680,0.7343,0.7337,0.7381,0.7316,0.7272,0.7957,0.8140,0.8118,0.8275,0.8383,0.8609,0.9253,0.9306,0.8568,0.9615,0.9820,1.0000
single_chars,17,40,0.9884,0.6009,0.2121,0.1848,0.3109,0.3276,0.3491,0.4944,0.5494,0.5385,0.5521,0.5061,0.5811,0.7910,0.8177,0.7140,0.9715,0.9619,1.0000
all_same,17,40,0.9841,0.1263,0.3025,0.5485,0.6199,0.6898,0.7543,0.7606,0.7564,0.7870,0.8231,0.8548,0.8684,0.9118,0.9380,0.9319,0.9846,0.9925,1.0000
numeric_vars,17,40,0.9841,0.1466,0.6840,0.7378,0.7653,0.7422,0.7397,0.7718,0.7942,0.8222,0.8370,0.8465,0.8675,0.9305,0.9374,0.9239,0.9739,0.9910,1.0000
misleading_index_key,17,40,0.9841,0.4677,0.6551,0.6820,0.7130,0.7320,0.7282,0.7564,0.7629,0.7440,0.7891,0.8116,0.8347,0.8955,0.9064,0.8264,0.9658,0.9812,1.0000
