strategy,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28
random_nouns,0.2782,0.1858,0.1679,0.2637,0.2359,0.2535,0.2352,0.2402,0.2233,0.2737,0.2560,0.2968,0.3239,0.3273,0.3597,0.3441,0.3600,0.3398,0.3432,0.3239,0.3339,0.3029,0.2763,0.2575,0.2663,0.3047,0.3072,0.3007,0.3023
single_chars,0.4976,0.1799,0.1736,0.2767,0.2808,0.2774,0.2608,0.2270,0.2438,0.2061,0.2514,0.2610,0.2302,0.2633,0.2386,0.2381,0.2712,0.2851,0.2765,0.2578,0.2683,0.2302,0.2276,0.2105,0.2301,0.2387,0.2411,0.2227,0.2678
all_same,0.3342,0.1827,0.1563,0.2875,0.2125,0.2520,0.1931,0.2159,0.1793,0.2292,0.2638,0.2621,0.2687,0.2527,0.2594,0.2664,0.2834,0.2656,0.2471,0.2243,0.2178,0.2464,0.2456,0.2033,0.2164,0.2198,0.2418,0.2275,0.1876
numeric_vars,0.1354,0.1951,0.1593,0.1664,0.1832,0.1528,0.1682,0.1708,0.1859,0.1262,0.1432,0.2032,0.2138,0.1963,0.2160,0.2182,0.2242,0.2265,0.2259,0.2529,0.2512,0.2205,0.2191,0.1815,0.1952,0.2056,0.2155,0.2102,0.2357
misleading_iterator,0.1334,0.1013,0.0645,0.1769,0.1602,0.1746,0.1457,0.1139,0.1069,0.1591,0.1530,0.1718,0.1616,0.1612,0.1727,0.1873,0.1755,0.1799,0.1844,0.1789,0.1747,0.1709,0.1419,0.1100,0.1205,0.1281,0.1290,0.1153,0.1350
