strategy,selected_layer,test_f1_mean,test_f1_std,ci_low,ci_high,majority_f1,control_f1,selectivity,n_programs,delta_f1_vs_baseline
baseline,11,0.9868,0.0040,0.9813,0.9902,0.4904,0.4605,+0.5263,427,
random_nouns,6,0.9749,0.0032,0.9674,0.9794,0.4860,0.4547,+0.5202,427,-0.0119
single_chars,6,0.9412,0.0073,0.9328,0.9488,0.4877,0.4582,+0.4831,427,-0.0456
all_same,2,0.9999,0.0001,0.9997,1.0000,0.4457,0.4601,+0.5398,427,+0.0131
numeric_vars,26,0.9339,0.0077,0.9215,0.9412,0.4822,0.4541,+0.4798,427,-0.0529
misleading_iterator,0,0.9984,0.0012,0.9966,0.9993,0.4869,0.4061,+0.5923,427,+0.0116
