strategy,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32
random_nouns,0.0097,0.0906,0.1554,0.2197,0.2500,0.3242,0.3523,0.3335,0.3502,0.3701,0.3854,0.3793,0.3681,0.3707,0.3748,0.3476,0.3504,0.3414,0.3407,0.3463,0.3502,0.3438,0.3476,0.3335,0.3206,0.3403,0.3411,0.3537,0.3366,0.3462,0.3639,0.3599,0.3636
single_chars,0.0547,0.0628,0.1142,0.2030,0.2335,0.2636,0.3125,0.2911,0.3008,0.3282,0.3209,0.2970,0.3592,0.3199,0.3484,0.3575,0.3300,0.3332,0.2829,0.3067,0.2882,0.2889,0.2799,0.2794,0.2946,0.3157,0.2907,0.2793,0.3015,0.2679,0.2930,0.2809,0.2827
all_same,0.0546,0.0459,0.0729,0.0777,0.0924,0.1126,0.1183,0.1095,0.0994,0.0821,0.1240,0.1134,0.1374,0.1528,0.1523,0.1512,0.1584,0.1576,0.1658,0.1678,0.1685,0.1592,0.1439,0.1334,0.1384,0.1379,0.1308,0.1359,0.1375,0.1215,0.1420,0.1366,0.1457
numeric_vars,0.0981,0.0551,0.1072,0.0961,0.1127,0.1190,0.1218,0.1526,0.1735,0.1562,0.1668,0.1887,0.2009,0.2241,0.2283,0.2318,0.2320,0.2460,0.2374,0.2453,0.2532,0.2470,0.2486,0.2573,0.2565,0.2710,0.2567,0.2612,0.2630,0.2516,0.2469,0.2470,0.2531
misleading_iterator,0.0497,0.0669,0.0750,0.1178,0.1349,0.1497,0.1877,0.1712,0.1889,0.2042,0.2035,0.2094,0.2091,0.2200,0.2232,0.2096,0.2044,0.2023,0.2017,0.2091,0.2038,0.2336,0.2126,0.2023,0.2096,0.1993,0.1898,0.1953,0.1970,0.1856,0.1903,0.1960,0.2043
