strategy,layer,train_acc,test_acc,train_f1,test_f1
all_same,16,0.9937,0.9917,0.9825,0.9777
all_same,17,0.9937,0.9917,0.9825,0.9777
all_same,18,0.9937,0.9917,0.9825,0.9777
all_same,19,0.9937,0.9917,0.9825,0.9777
all_same,20,0.9937,0.9917,0.9825,0.9777
all_same,21,0.9937,0.9917,0.9825,0.9777
all_same,22,0.9937,0.9917,0.9825,0.9777
all_same,23,0.9937,0.9917,0.9825,0.9777
all_same,24,0.9937,0.9917,0.9825,0.9777
all_same,25,0.9937,0.9917,0.9825,0.9777
all_same,26,0.9937,0.9917,0.9825,0.9777
all_same,27,0.9937,0.9917,0.9825,0.9777
all_same,28,0.9937,0.9833,0.9825,0.9537
numeric_vars,0,0.7095,0.6956,0.5613,0.5516
numeric_vars,1,0.8992,0.8788,0.7529,0.7113
numeric_vars,2,0.9381,0.9084,0.8214,0.7486
numeric_vars,3,0.9564,0.9285,0.8625,0.7858
numeric_vars,4,0.9687,0.9415,0.8944,0.8091
numeric_vars,5,0.9769,0.9421,0.9185,0.8054
numeric_vars,6,0.9817,0.9444,0.9333,0.8108
numeric_vars,7,0.9830,0.9474,0.9376,0.8227
numeric_vars,8,0.9849,0.9509,0.9440,0.8289
numeric_vars,9,0.9897,0.9533,0.9604,0.8337
numeric_vars,10,0.9923,0.9474,0.9700,0.8165
numeric_vars,11,0.9935,0.9504,0.9744,0.8199
numeric_vars,12,0.9938,0.9545,0.9756,0.8306
numeric_vars,13,0.9945,0.9527,0.9784,0.8272
numeric_vars,14,0.9967,0.9504,0.9869,0.8102
numeric_vars,15,0.9970,0.9486,0.9881,0.8128
numeric_vars,16,0.9975,0.9527,0.9899,0.8192
numeric_vars,17,0.9976,0.9504,0.9904,0.8173
numeric_vars,18,0.9978,0.9504,0.9910,0.8102
numeric_vars,19,0.9976,0.9533,0.9904,0.8194
numeric_vars,20,0.9981,0.9533,0.9922,0.8208
numeric_vars,21,0.9982,0.9515,0.9928,0.8118
numeric_vars,22,0.9982,0.9450,0.9928,0.7969
numeric_vars,23,0.9982,0.9533,0.9928,0.8262
numeric_vars,24,0.9982,0.9492,0.9928,0.8041
numeric_vars,25,0.9982,0.9403,0.9928,0.7726
numeric_vars,26,0.9982,0.9415,0.9928,0.7736
numeric_vars,27,0.9982,0.9444,0.9928,0.7859
numeric_vars,28,0.9981,0.9421,0.9922,0.7819
misleading_accumulator,0,0.9847,0.9781,0.9125,0.8836
misleading_accumulator,1,0.9966,0.9947,0.9778,0.9659
misleading_accumulator,2,0.9989,0.9955,0.9924,0.9700
misleading_accumulator,3,1.0000,0.9970,1.0000,0.9800
misleading_accumulator,4,1.0000,0.9985,1.0000,0.9900
misleading_accumulator,5,1.0000,0.9985,1.0000,0.9898
misleading_accumulator,6,1.0000,0.9985,1.0000,0.9898
misleading_accumulator,7,1.0000,1.0000,1.0000,1.0000
misleading_accumulator,8,1.0000,0.9992,1.0000,0.9949
misleading_accumulator,9,1.0000,0.9977,1.0000,0.9848
misleading_accumulator,10,1.0000,0.9970,1.0000,0.9800
misleading_accumulator,11,1.0000,0.9977,1.0000,0.9848
misleading_accumulator,12,1.0000,0.9970,1.0000,0.9800
misleading_accumulator,13,1.0000,0.9977,1.0000,0.9851
misleading_accumulator,14,1.0000,0.9970,1.0000,0.9800
misleading_accumulator,15,1.0000,0.9962,1.0000,0.9752
misleading_accumulator,16,1.0000,0.9970,1.0000,0.9800
misleading_accumulator,17,1.0000,0.9970,1.0000,0.9800
misleading_accumulator,18,1.0000,0.9970,1.0000,0.9803
misleading_accumulator,19,1.0000,0.9977,1.0000,0.9851
misleading_accumulator,20,1.0000,0.9977,1.0000,0.9851
misleading_accumulator,21,1.0000,0.9977,1.0000,0.9851
misleading_accumulator,22,1.0000,0.9970,1.0000,0.9800
misleading_accumulator,23,1.0000,0.9970,1.0000,0.9800
misleading_accumulator,24,1.0000,0.9970,1.0000,0.9803
misleading_accumulator,25,1.0000,0.9955,1.0000,0.9705
misleading_accumulator,26,1.0000,0.9970,1.0000,0.9796
misleading_accumulator,27,1.0000,0.9962,1.0000,0.9747
misleading_accumulator,28,1.0000,0.9902,1.0000,0.9367
