strategy,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28
random_nouns,0.1732,0.1304,0.1335,0.2204,0.2044,0.1718,0.1776,0.1462,0.2175,0.2526,0.2694,0.2925,0.2951,0.3282,0.2949,0.2897,0.3053,0.3128,0.2964,0.3135,0.3088,0.2999,0.3205,0.2886,0.3057,0.2941,0.2772,0.2922,0.3178
single_chars,0.3694,0.1361,0.1448,0.2063,0.1954,0.2006,0.1453,0.1421,0.1896,0.2694,0.3392,0.3303,0.3490,0.3669,0.3358,0.3091,0.3540,0.3162,0.3159,0.3046,0.3342,0.3264,0.3285,0.3265,0.3413,0.3199,0.3284,0.3127,0.3527
all_same,0.3714,0.2487,0.2055,0.1172,0.1782,0.1940,0.1754,0.1351,0.1845,0.1770,0.1841,0.2308,0.1870,0.1848,0.1734,0.1821,0.1919,0.1953,0.2079,0.2229,0.2354,0.2240,0.2328,0.2080,0.2078,0.1998,0.1753,0.1744,0.1420
numeric_vars,0.2478,0.1580,0.1908,0.1615,0.1643,0.1494,0.1758,0.1250,0.1405,0.1907,0.2091,0.2285,0.2434,0.2860,0.2728,0.2784,0.2845,0.2743,0.2803,0.2641,0.2768,0.2823,0.2806,0.2469,0.2802,0.2240,0.1712,0.1826,0.2289
misleading_accumulator,0.2794,0.1206,0.0940,0.1167,0.0832,0.0868,0.0762,0.1258,0.1513,0.1765,0.1928,0.2062,0.2272,0.1961,0.1846,0.2237,0.2236,0.1985,0.1855,0.1902,0.2160,0.2432,0.2561,0.2300,0.2150,0.2163,0.2246,0.2185,0.2453
