model,slug,delta,ci_low,ci_high,method,n_boot,n_clusters,excludes_zero,n_shared,n_shared_unique_occurrences,min_seed_coverage
Qwen/Qwen2.5-1.5B,qwen2515b,-0.001596884949740085,-0.017115676270528353,0.014255085768042745,bca,2000,915,False,2067,1410,1.0
Qwen/Qwen2.5-Coder-1.5B,qwen25coder15b,-0.0028495356378743786,-0.037314268943497424,0.014391971569940695,bca,2000,915,False,2067,1410,1.0
bigcode/starcoder2-7b,starcoder27b,0.002492504912246174,-0.015914967572499435,0.017499071702936374,bca,2000,915,False,2067,1410,1.0
