language,programs,indomain_best_layer,indomain_test_f1,transfer_acc_at_py_best,transfer_f1_at_py_best
Python,256,7,0.9876,,
Java,188,12,0.9958,0.9910,0.9495
C++,191,7,0.9937,0.9940,0.9666
C,191,12,0.9906,0.9875,0.9357
C#,189,13,0.9980,0.9921,0.9568
Javascript,266,12,0.9922,0.9948,0.9776
PHP,253,8,0.9946,0.9966,0.9830
