strategy,selected_layer,test_f1_mean,test_f1_std,ci_low,ci_high,majority_f1,control_f1,selectivity,n_programs,delta_f1_vs_baseline
baseline,7,0.9783,0.0045,0.9680,0.9834,0.4904,0.4291,+0.5491,427,
random_nouns,12,0.9561,0.0046,0.9464,0.9624,0.4894,0.4226,+0.5335,427,-0.0222
single_chars,8,0.9058,0.0049,0.8954,0.9160,0.4878,0.4256,+0.4802,427,-0.0725
all_same,1,0.9998,0.0001,0.9996,0.9999,0.4464,0.4585,+0.5413,427,+0.0216
numeric_vars,22,0.9106,0.0094,0.8961,0.9211,0.4824,0.4403,+0.4702,427,-0.0677
misleading_iterator,0,0.9982,0.0015,0.9973,0.9992,0.4871,0.4018,+0.5964,427,+0.0200
