strategy,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28
random_nouns,0.0742,0.1003,0.1152,0.2464,0.2683,0.2098,0.2118,0.2551,0.2294,0.2489,0.2992,0.3137,0.3370,0.3965,0.4478,0.4078,0.4060,0.3866,0.4110,0.4101,0.3919,0.3573,0.3446,0.3347,0.3203,0.3445,0.3406,0.3247,0.3474
single_chars,0.0979,0.0846,0.0917,0.2066,0.2006,0.2120,0.1701,0.1639,0.1804,0.1753,0.2287,0.2307,0.2397,0.2287,0.2579,0.2421,0.2650,0.2986,0.2383,0.2289,0.2427,0.2115,0.2360,0.1729,0.1933,0.1967,0.2388,0.2283,0.2557
all_same,0.0957,0.0750,0.0545,0.1482,0.1689,0.1420,0.1099,0.1007,0.1115,0.1771,0.1945,0.2118,0.1628,0.1833,0.1905,0.1744,0.2229,0.1980,0.2265,0.2052,0.1972,0.1781,0.1743,0.1376,0.1501,0.1553,0.1839,0.1987,0.1871
numeric_vars,0.0863,0.1023,0.0756,0.1181,0.1421,0.1033,0.1369,0.1061,0.1314,0.1065,0.1371,0.1739,0.1726,0.1595,0.2022,0.1967,0.2021,0.2302,0.2355,0.2771,0.2326,0.2361,0.2293,0.1871,0.2154,0.2249,0.2206,0.2064,0.2165
misleading_iterator,0.0796,0.0435,0.0174,0.1206,0.1416,0.1069,0.1137,0.1333,0.1118,0.1475,0.1591,0.1401,0.1486,0.1334,0.1497,0.1461,0.1332,0.1257,0.1366,0.1557,0.1791,0.1405,0.1045,0.0999,0.0915,0.1004,0.1517,0.1575,0.1337
