condition,readout_layer,n_pairs,m_clean,m_corrupt,recovery_layer_1,recovery_layer_2,recovery_layer_3,recovery_layer_4,recovery_layer_5,recovery_layer_6,recovery_layer_7,recovery_layer_8,recovery_layer_9,recovery_layer_10,recovery_layer_11,recovery_layer_12,recovery_layer_13,recovery_layer_14,recovery_layer_15,recovery_layer_16,recovery_layer_17,recovery_layer_18,recovery_layer_19,recovery_layer_20,recovery_layer_21,recovery_layer_22
random_nouns,22,20,0.9999,0.5038,0.9655,0.9672,0.9677,0.9681,0.9680,0.9685,0.9684,0.9684,0.9698,0.9755,0.9834,0.9936,0.9993,0.9990,0.9990,0.9990,0.9992,0.9994,0.9997,0.9996,1.0000,1.0000
single_chars,22,20,0.9999,0.7029,0.8632,0.8714,0.8815,0.8812,0.8892,0.9097,0.9147,0.9256,0.9326,0.9574,0.9605,0.9681,0.9737,0.9756,0.9804,0.9869,0.9921,0.9977,0.9994,0.9992,0.9999,1.0000
all_same,22,20,0.9999,0.1051,0.8419,0.8698,0.8715,0.8697,0.8741,0.8852,0.8933,0.9085,0.9195,0.9400,0.9459,0.9523,0.9577,0.9642,0.9742,0.9851,0.9926,0.9982,0.9996,0.9999,1.0000,1.0000
numeric_vars,22,20,0.9999,0.1850,0.9395,0.9469,0.9501,0.9527,0.9409,0.9506,0.9498,0.9623,0.9665,0.9757,0.9797,0.9901,0.9931,0.9908,0.9914,0.9942,0.9947,0.9961,0.9988,0.9996,1.0000,1.0000
misleading_iterator,22,20,0.9999,0.3822,0.9676,0.9639,0.9654,0.9671,0.9728,0.9822,0.9830,0.9818,0.9832,0.9885,0.9895,0.9944,0.9952,0.9950,0.9961,0.9957,0.9960,0.9983,0.9995,0.9996,1.0000,1.0000
