strategy,best_layer,test_acc,test_f1,delta_f1_vs_baseline
baseline,22,0.9997,0.9977,
random_nouns,8,0.9991,0.9936,-0.0041
single_chars,5,0.9913,0.9454,-0.0523
all_same,0,1.0000,1.0000,+0.0023
numeric_vars,29,0.9911,0.9610,-0.0367
misleading_iterator,0,1.0000,1.0000,+0.0023
