strategy,selected_layer,test_f1_mean,test_f1_std,ci_low,ci_high,majority_f1,control_f1,selectivity,n_programs,delta_f1_vs_baseline
baseline,8,0.9822,0.0070,0.9690,0.9894,0.4961,0.4294,+0.5528,400,
random_nouns,19,0.9783,0.0056,0.9650,0.9848,0.4961,0.4273,+0.5510,400,-0.0039
single_chars,7,0.9562,0.0152,0.9363,0.9671,0.4957,0.4230,+0.5332,400,-0.0260
all_same,0,0.9999,0.0001,0.9998,1.0000,0.4431,0.4402,+0.5598,400,+0.0177
numeric_vars,21,0.9678,0.0047,0.9553,0.9749,0.4935,0.4241,+0.5437,400,-0.0144
misleading_class_struct,7,0.9779,0.0087,0.9673,0.9835,0.4950,0.4155,+0.5625,400,-0.0043
