strategy,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28
random_nouns,-0.0003,0.1131,0.1717,0.4147,0.3467,0.3792,0.4154,0.4510,0.3901,0.4257,0.4332,0.3995,0.4018,0.3772,0.3998,0.4463,0.4374,0.4354,0.4158,0.4642,0.4587,0.4492,0.4482,0.4250,0.4145,0.3868,0.4439,0.4366,0.4473
single_chars,0.0136,0.1076,0.0833,0.3364,0.2952,0.3007,0.3056,0.3390,0.3363,0.3369,0.3454,0.3357,0.3531,0.3601,0.3640,0.4153,0.3810,0.3795,0.3574,0.3880,0.3627,0.3414,0.3616,0.3019,0.2782,0.2901,0.3378,0.3284,0.3393
all_same,-0.0050,-0.0211,-0.0061,0.0362,0.0690,0.0477,0.0312,0.0237,0.0351,0.0306,0.0863,0.0756,0.0530,0.0568,0.0395,0.0793,0.0665,0.0568,0.0704,0.0915,0.0936,0.0799,0.0563,0.0603,0.0602,0.0480,0.0845,0.0880,0.1256
numeric_vars,0.0223,0.1276,0.1266,0.1928,0.1494,0.1715,0.1996,0.1787,0.1475,0.1864,0.2338,0.1957,0.2170,0.2306,0.2743,0.2674,0.2695,0.2697,0.2504,0.2735,0.3130,0.3328,0.3518,0.3117,0.2962,0.3006,0.2989,0.2939,0.2785
misleading_class_struct,0.0040,0.0265,0.0464,0.2710,0.2550,0.2525,0.2467,0.3242,0.2934,0.3086,0.2830,0.3232,0.3026,0.2675,0.2562,0.3206,0.3133,0.2718,0.2646,0.2589,0.2394,0.2818,0.2627,0.2500,0.2176,0.2106,0.2274,0.2330,0.1635
