strategy,selected_layer,test_f1_mean,test_f1_std,ci_low,ci_high,majority_f1,control_f1,selectivity,n_programs,delta_f1_vs_baseline
baseline,5,0.9812,0.0067,0.9673,0.9897,0.4960,0.4785,+0.5026,400,
random_nouns,6,0.9755,0.0107,0.9619,0.9833,0.4950,0.4658,+0.5098,400,-0.0056
single_chars,4,0.9567,0.0152,0.9214,0.9710,0.4956,0.4748,+0.4819,400,-0.0245
all_same,0,0.9999,0.0002,0.9997,0.9999,0.4420,0.4452,+0.5547,400,+0.0187
numeric_vars,23,0.9681,0.0036,0.9563,0.9753,0.4934,0.4514,+0.5167,400,-0.0131
misleading_class_struct,5,0.9853,0.0083,0.9757,0.9902,0.4949,0.4674,+0.5179,400,+0.0041
