strategy,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32
random_nouns,0.0490,0.1483,0.2394,0.5113,0.4786,0.5089,0.5023,0.4699,0.4601,0.4498,0.4443,0.4213,0.4447,0.4299,0.4136,0.4167,0.4069,0.3932,0.4127,0.3852,0.3624,0.4078,0.4163,0.4295,0.4194,0.4182,0.4212,0.3962,0.3898,0.3899,0.4067,0.4096,0.4022
single_chars,0.0405,0.1166,0.2173,0.4589,0.4213,0.4530,0.4670,0.4415,0.4531,0.4284,0.4207,0.4164,0.4130,0.4256,0.4171,0.4300,0.4371,0.4218,0.4331,0.4210,0.4145,0.4321,0.4301,0.4455,0.4270,0.4277,0.4296,0.4141,0.4129,0.4150,0.4080,0.4017,0.3906
all_same,-0.0041,-0.0130,-0.0178,0.0190,0.0534,0.0311,0.0394,0.0374,0.0485,0.0497,0.0710,0.0775,0.0797,0.0909,0.0905,0.0975,0.0883,0.0743,0.0716,0.0771,0.0840,0.1007,0.0940,0.0984,0.0992,0.0832,0.0815,0.0873,0.0797,0.0805,0.0750,0.0783,0.0933
numeric_vars,0.0155,0.1030,0.1633,0.2045,0.2226,0.2229,0.2361,0.2723,0.2584,0.2609,0.2545,0.2689,0.2943,0.3020,0.2851,0.2963,0.3122,0.3190,0.3624,0.3484,0.3219,0.3581,0.3686,0.3652,0.3495,0.3080,0.3511,0.3291,0.3267,0.3186,0.3204,0.2999,0.3068
misleading_class_struct,0.0279,0.1013,0.1361,0.3872,0.3575,0.3388,0.3430,0.3268,0.3304,0.3300,0.3121,0.3049,0.3075,0.3057,0.2867,0.3016,0.2938,0.2833,0.2714,0.2632,0.2581,0.2533,0.2545,0.2665,0.2613,0.2538,0.2552,0.2394,0.2373,0.2344,0.2158,0.2451,0.1960
